Code,Label,MX
Code,Label,MX
,,2000
19044,Sabinas Hidalgo,X
19045,Salinas Victoria,X
19046,San Nicolas de los Garza,X
19047,Hidalgo,X
19048,Santa Catarina,X
19049,Santiago,X
19050,Vallecillo,X
19051,Villaldama,X
,Oaxaca,
20001,Abejones,X
20002,Acatlan de Perez Figueroa,X
20003,Asuncion Cacalotepec,X
20004,Asuncion Cuyotepeji,X
20005,Asuncion Ixtaltepec,X
20006,Asuncion Nochixtlan,X
20007,Asuncion Ocotlan,X
20008,Asuncion Tlacolulita,X
20009,Ayotzintepec,X
20010,"Barrio de la Soledad, El",X
20011,Calihuala,X
20012,Candelaria Loxicha,X
20013,Cienega de Zimatlan,X
20014,Ciudad Ixtepec,X
20015,Coatecas Altas,X
20016,Coicoyan de las Flores,X
Code,Label,MX
,,2000
20017,"Compania, La",X
20018,Concepcion Buenavista,X
20019,Concepcion Papalo,X
20020,Constancia del Rosario,X
20021,Cosolapa,X
20022,Cosoltepec,X
20023,Cuilapam de Guerrero,X
20024,Cuyamecalco Villa de Zaragoza,X
20025,Chahuites,X
