munic,RTC_mex00,RTC_us00,RTC2_mex00,RTC2_us00,RTC_HM16_us00
484015052,-.1143178189968239,-.0405876446605475,-.1115083213080652,-.0484703963840047,-.0273671446930308
484015053,-.1163965530286077,-.0612369451482664,-.1106657001655549,-.0624565395992249,-.0457181766396388
484015054,-.1104401779011823,-.075542313457845,-.1064396245055832,-.059755182799563,-.0431987855381522
484015055,-.1111916735565046,-.0538177807728957,-.1121458216885003,-.060130550744077,-.0358275420067002
484015056,-.1143622268864419,-.0843830292724306,-.1124672184814699,-.0815057959989645,-.0591068238354637
484015057,-.1094792017470354,-.0500051454978916,-.106401691757128,-.0534594514886066,-.0281078070342744
484015058,-.1120420849038055,-.0483017897349782,-.1053503111470491,-.0580138424666075,-.0388335147390535
484015059,-.1162622806841682,-.0437784146515696,-.1131024414207786,-.0511990772552053,-.0280103206434887
484015060,-.1040760947507806,-.0474368292916552,-.102880616861512,-.0458126156881917,-.0270961534238268
484015061,-.1079978243287769,-.0413837956766656,-.1056243417115184,-.0443700333416928,-.0241241285507385
484015062,-.1045478357173124,-.0482342032987617,-.1082330962090055,-.0527603160498984,-.0296749620906667
484015063,-.1024057567119598,-.0460510225966573,-.1010804320685566,-.0450215187156573,-.0236270530731417
484015064,-.1054209325448028,-.0445172916593037,-.1066528993542306,-.0482410805825566,-.0271495706065252
484015065,-.097727559186751,-.0502129700143996,-.0996789685159456,-.0484331134584863,-.0256274476663521
484015066,-.1163527079625055,-.0658742380473996,-.1153906673425809,-.0681917842011899,-.0386168850727699
484015067,-.1115677001216682,-.0611119463487739,-.1099899171749712,-.0613254285751736,-.0346956236384699
484015068,-.0995483628576039,-.0539437850748072,-.100807873532176,-.0577722457301206,-.0388350505901371
484015069,-.1339435297413729,-.0361183372151572,-.1278296957025304,-.0380904471094254,-.0167736421781228
484015070,-.1179010716150515,-.0486933978972957,-.1152887521311641,-.048300600516086,-.0226447889917836
484015071,-.1037873760724324,-.0437796903097478,-.1019790167883912,-.0455154933742961,-.0255488867381928
484015072,-.1103756883749156,-.0529480477234756,-.108392449648818,-.0520069404237802,-.0263433782737366
484015073,-.1283803719979915,-.0727422099512296,-.1261115628476546,-.0737733998848853,-.057366033831272
484015074,-.1067743981257081,-.0418958767404547,-.1041537893470377,-.0455433008173713,-.026118628506083
484015075,-.1018365324442812,-.0432264669111646,-.1027806783095002,-.0450146819930524,-.0228902999788261
484015076,-.1186874111299403,-.1001568662495629,-.1094546423410066,-.0671207796876843,-.0481184077646049
484015077,-.0963002818607492,-.0306585306761917,-.1020877107512206,-.0459445037049591,-.02846357933322
484015078,-.109458066969637,-.0476140975723638,-.1093052456872101,-.0545872405225509,-.0285236979174925
484015079,-.105912457103841,-.0527871924568899,-.1033208286971785,-.0480116990493116,-.0266209697149407
484015080,-.1059950832277536,-.0505421932903118,-.1015821776818484,-.0489496736845467,-.027240314258961
484015081,-.1043201502325246,-.0601182192776832,-.1073632292536786,-.057739579410736,-.0353925133874782
484015082,-.1255784893000964,-.0631323830384645,-.1110324033361394,-.0526820844970644,-.0268415073658161
484015083,-.1009889964625472,-.0387169983114291,-.1021470685227541,-.0438491410604911,-.0249969772639815
484015084,-.1125848636547744,-.0615655351913915,-.1062852834293153,-.0497144473702065,-.0283276859968282
484015085,-.1149243196705356,-.0679601627571174,-.1085951225213648,-.0605771208165606,-.0406430906392643
484015086,-.1094129286939278,-.0503214139607735,-.106241722474806,-.0479728101345245,-.0253960437075875
484015087,-.1006345677699869,-.042718383313769,-.1036743153963471,-.0457354590139403,-.0262434293676961
484015088,-.1126848417443398,-.0590753792921532,-.1143090840196237,-.0551920804282418,-.0316510940090211
484015089,-.1024628498053062,-.0516919649599004,-.1068667370564072,-.0558098525398236,-.0306925836290475
484015090,-.1065907686715946,-.0618547258163744,-.1073640079412144,-.0596959543017874,-.0397367840778315
484015091,-.1036602046842745,-.0505808359484945,-.1017387082247296,-.0469010555534624,-.0261256557769229
484015092,-.1081610309818188,-.0471543300010069,-.1056845838756999,-.0493726433542179,-.0280446583261664
484015093,-.1035938482382335,-.0475974829641928,-.101499065727694,-.0452870476310636,-.0253514880860166
484015094,-.1138122074771673,-.0741321397945285,-.112888410454616,-.0775707293651067,-.0595243543211836
484015095,-.1159562772372738,-.0505620605144941,-.1098678346606903,-.0543278513359837,-.028753680169757
484015096,-.1181920885846921,-.0574109335520916,-.1121202969588921,-.0699180397862165,-.052556013075673
484015097,-.104723649827065,-.0381090427108575,-.1024434081045911,-.0454164129914716,-.0248802420228458
484015098,-.0883621182074421,-.0443164578578035,-.0930638780409936,-.0470750990871238,-.0258249216744844
484015099,-.111441625514999,-.0641058176115621,-.1038585890637478,-.0482923786512401,-.0263347619436445
484015100,-.1117366290300197,-.0452578211940704,-.1119671298129106,-.0507868222886145,-.0263541426701579
484015101,-.1040478307986632,-.0549758134875447,-.1016946991439909,-.0460957496725314,-.0259094202756387
484015102,-.1141308705682604,-.0485527745959189,-.1121827592942282,-.0516927273988586,-.0265259249624705
484015103,-.11803094696476,-.0395776303114254,-.1053966122635757,-.0412839049890863,-.0192294547709366
484015104,-.1039550093846628,-.0513268433824123,-.1022471519827377,-.045640270169315,-.0262971706783901
484015105,-.104903869400431,-.0517035674928366,-.103729294743971,-.0482218529741658,-.0278657474657393
484015106,-.1012802213335817,-.044352557737966,-.1013864429878595,-.0442305861479326,-.0248262275456455
484015107,-.1040460973308655,-.0443654644986964,-.1017634515264945,-.0444034139109135,-.0246198894681129
484015108,-.1063473404501565,-.0832411866949769,-.1085189955192618,-.0553075431826073,-.0355652093919616
484015109,-.1013498678803444,-.0442417860031128,-.1013498604297638,-.0442417822778225,-.0250134710222483
484015110,-.1013627671345603,-.0337545098227565,-.1005794792727102,-.0382334572113905,-.0232942130310221
484015111,-.1079463805617706,-.0490654706547957,-.1096569539586199,-.0494141091426172,-.0267583604498611
484015112,-.1034605539098266,-.0476485618146398,-.1030122941447189,-.0473758751286368,-.0286833652796759
484015113,-.1068635304181953,-.0537196785689957,-.1078113556941389,-.0568368812910194,-.0341226613797971
484016001,-.1126091467449442,-.0460124429737334,-.1070909904665314,-.0472294484279701,-.0222535627463003
484016002,-.1115192607976496,-.04592148734082,-.103947417694144,-.0432632007068605,-.0241252145569888
484016003,-.1032353183545638,-.0471369763690745,-.1022232424293179,-.0460575161632732,-.0249674235437851
484016004,-.1022882004399435,-.0453893101057474,-.101615512448916,-.044424095066006,-.0244539506615524
484016005,-.1114986273751129,-.0346733507394674,-.1053165152261499,-.0328631677839439,-.0145122116630318
484016006,-.1075804805950611,-.0463025198275773,-.1084696731777513,-.0540531830306463,-.0278315576034061
484016007,-.118650371208787,-.0370019195834175,-.1114554014056921,-.0393575865891762,-.0168738364591263
484016008,-.1113570106681436,-.0316530052223243,-.1039790954673663,-.0404844077729649,-.0227361813922471
484016009,-.1036963800725061,-.0451298903426505,-.1032849044422619,-.042431847032276,-.0223496271191834
