hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
74093110	90	"Copper-tin base alloys (bronze), plates, sheets and strip, in coils. with a thickness of 5 mm or more"	"kilograms"	""			.051	.051	0	0	"A"	""	""			""	""	"CA"		.04	.04	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.49	.49	0	0				3.91805
74093150	90	"Copper-tin base alloys (bronze), plates, sheets and strip, in coils, with a thickness o/0.15mm but less than 5mm & a width of 500mm or more"	"kilograms"	""			.017	.017	0	0	"A"	""	""			""	""	"CA"		.013	.013	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.09	.09	0	0				4.54212
74093190	90	"Copper-tin base alloys (bronze), plates, sheets and strip, in coils, w/thickness o/0.15mm but less than 5mm & a width of less than 500mm"	"kilograms"	""			.051	.051	0	0	"A"	""	""			""	""	"CA"		.04	.04	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.49	.49	0	0				4.77758
74093910	90	"Copper-tin base alloys (bronze), plates, sheets and strip, with a thickness of 5 mm or more"	"kilograms"	"component kilograms"			.051	.051	0	0	"A"	""	""			""	""	"CA"		.04	.04	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.49	.49	0	0				6.73516
74093950	90	"Copper-tin base alloys (bronze), plates, sheets and strip, with a thickness o/0.15 but less than 5 mm & of a width of 500 mm or more"	"kilograms"	""			.017	.017	0	0	"A"	""	""			""	""	"CA"		.013	.013	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.09	.09	0	0				4.18332
74093990	90	"Copper-tin base alloys (bronze), plates, sheets and strip, with a thickness o/0.15 but less than 5 mm & of a width of less than 500 mm"	"kilograms"	"component kilograms"			.051	.051	0	0	"A"	""	""			""	""	"CA"		.04	.04	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.49	.49	0	0				5.75977
74094000	90	"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), plates, sheets and strip, w/thickness o/0.15mm"	"kilograms"	""			.063	.063	0	0	"A"	""	""			""	""	"CA"		.05	.05	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.48	.48	0	0				4.97477
74099010	90	"Copper alloys (o/than brass/bronze/cupro-nickel/nickel silver), plates, sheets & strip, with thickness of 5 mm or more"	"kilograms"	"component kilograms"			.051	.051	0	0	"A"	""	""			""	""	"CA"		.04	.04	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.49	.49	0	0				9.66172
74099050	90	"Copper alloys (o/than brass/bronze/cupro-nickel/nickel silver), plates, sheets & strip, w/thick. o/0.15mm but less th/5mm & width 500mm+"	"kilograms"	"component kilograms"			.017	.017	0	0	"A"	""	""			""	""	"CA"		.013	.013	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.09	.09	0	0				2.69349
74099090	90	"Copper alloys (o/than brass/bronze/cupro-nickel/nickel silver), plates, sheets & strip, w/thick. o/0.15mm but less th/5mm & width less 500mm"	"kilograms"	"component kilograms"			.051	.051	0	0	"A"	""	""			""	""	"CA"		.04	.04	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.49	.49	0	0				5.02522
