UNCode	Country_UN	Program1989	Program1990	Program1991	Program1992	Program1993	Program1994	Program1995	Program1996	Program1997	Program1998	Program1999	Program2000	Program2001		Program Code	Description
535280	NETHLDS	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
725400	NEW_CALE	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
725980	NEW_GUIN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
715540	NEW_ZEAL	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
345580	NICARAGA	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBTPA
165620	NIGER	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
165660	NIGERIA	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	GSP	AGOA
555780	NORWAY	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
445120	OMAN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
455860	PAKISTAN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
365900	PANAMA	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBTPA
336000	PARAGUA	MFN	MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
336040	PERU	GSP	GSP	GSP	GSP	ATPA	ATPA	ATPA	ATPA	ATPA	ATPA	ATPA	ATPA	ATPA
456080	PHIL	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
586160	POLAND	MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
536200	PORTUGAL	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
368961	PRT_RICO	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular
446340	QATAR	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
586420	ROMANIA	Col2	Col2	Col2	Col2	Col2	Col2	GSP	GSP	GSP	GSP	GSP	GSP	GSP
586430	RUSSIA				MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
166460	RWANDA	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
117100	S_AFRICA	MFN	MFN	MFN	MFN	MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP	AGOA
166540	S_HELNA	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
342220	SALVADR	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBTPA
728882	SAMOA	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP	GSP	GSP	GSP+	GSP+
446820	SD_ARAB	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
166860	SENEGAL	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	AGOA
166900	SEYCHEL	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	AGOA
166940	SIER_LN	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
457020	SINGAPR	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
587030	SLOVAKIA					GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
597050	SLOVENIA					GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
167060	SOMALIA	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+
226660	SP_MQEL	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
537240	SPAIN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
451440	SRI_LKA	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
356580	ST_K_NEV	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI
137360	SUDAN	GSP+	GSP+	GSP+	MFN	MFN	MFN	MFN	MFN	MFN				
367400	SURINAM	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
557520	SWEDEN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
557560	SWITZLD	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
447600	SYRIA	GSP	GSP	GSP	GSP	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
458960	TAIWAN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
467620	TAJIKIST				Col2	Col2	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
168340	TANZANIA	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
457640	THAILAND	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
167680	TOGO	GSP	GSP	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+
357800	TRINIDAD	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI
137880	TUNISIA	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
447920	TURKEY	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
467950	TURKMENI				Col2	Col2	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
168000	UGANDA	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
538260	UKINGDOM	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
