"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1996,1996,"CMT","AHS",8.59,7.97,3.7,0,10,19,0,0,4291.614,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1996,1996,"CMT","BND",32.81,34.74,8.47,0,35,16,0,15,4291.614,100
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1996,1996,"CMT","MFN",8.59,7.97,3.7,0,10,19,0,0,4291.614,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1997,1997,"CMT","AHS",8.59,7.9,3.7,0,10,19,0,0,7342.295,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1997,1997,"CMT","BND",32.81,31.86,8.47,0,35,16,0,15,7342.295,100
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1997,1997,"CMT","MFN",8.59,7.9,3.7,0,10,19,0,0,7342.295,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1998,1998,"CMT","AHS",8.75,9.28,3.56,0,10,21,0,0,18375.724,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1998,1998,"CMT","BND",33.06,33.38,8.02,0,35,18,0,17,18375.724,100
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1998,1998,"CMT","MFN",8.75,9.28,3.56,0,10,21,0,0,18375.724,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1999,1999,"CMT","AHS",0.43,0.08,0.76,0,2,45,0,0,35230.228,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1999,1999,"CMT","BND",32.5,33.9,9.01,0,35,14,0,13,35230.228,100
